"spline","rmse","mae","roughness","acf_lag1","acf_lag2","acf_lag3","acf_lag4","acf_lag5","mean_residual","sd_residual","min_residual","max_residual"
"Global",0.349515611918723,0.306351212638082,0.277632706420384,0.84873664857944,0.626588667558268,0.365643716985503,0.0584534789578881,-0.218488616260626,-0.0471326963395274,0.350735011245703,-0.508904719175562,0.754435039561698
"Region A Deviation",0.334338522647941,0.288857431498216,0.220252066715831,0.828564511643175,0.570489010255968,0.268973365014718,-0.0485794229439872,-0.347575453081353,0.0522556164692539,0.33443653075189,-0.640852087491556,0.61805151413581
"Region B Deviation",0.362629386231768,0.31433519821654,0.181438692018506,0.87188944877043,0.623285968995153,0.311073641343058,-0.0207725371491524,-0.287482374093369,0.0356937941087811,0.365465666872432,-0.677740243504067,0.569901160136682
"Region C Deviation",0.375184679002615,0.3171458072934,0.164751119707935,0.87722593727692,0.622267799009414,0.287134536897675,-0.0534809083126083,-0.337870920867439,0.0402532290173801,0.377771089162668,-0.805494581085858,0.651030271966744
